epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,15257.3,0.79874,0.80301,0.93804,0.75982,0.77819,0.69627,0.47887,0.86618,0.72143,0.91116,0.002278,0.002278,0.002278
80,15366.7,0.79062,0.80296,0.93656,0.75745,0.76968,0.69113,0.47978,0.8637,0.71891,0.91084,0.002179,0.002179,0.002179
81,15473.8,0.78761,0.80509,0.93285,0.77002,0.77643,0.69077,0.47807,0.86264,0.7184,0.91042,0.00208,0.00208,0.00208
82,15580.1,0.78418,0.79598,0.93418,0.75739,0.77283,0.69502,0.48061,0.8604,0.71716,0.90956,0.001981,0.001981,0.001981
83,15685.7,0.77425,0.79804,0.92807,0.76352,0.76557,0.69581,0.48007,0.85645,0.7161,0.90774,0.001882,0.001882,0.001882
84,15791.7,0.78509,0.80156,0.93288,0.76381,0.77121,0.69763,0.48575,0.85295,0.71454,0.90647,0.001783,0.001783,0.001783
85,15897.3,0.76707,0.78934,0.92243,0.76891,0.7761,0.69682,0.48847,0.84773,0.71315,0.9059,0.001684,0.001684,0.001684
86,16004.1,0.76516,0.78717,0.92708,0.75873,0.77807,0.69499,0.48951,0.84568,0.71064,0.90586,0.001585,0.001585,0.001585
87,16111.7,0.75833,0.78667,0.92331,0.76864,0.77976,0.69682,0.49014,0.84294,0.7103,0.90543,0.001486,0.001486,0.001486
88,16219.6,0.75309,0.7803,0.92294,0.76052,0.78467,0.6994,0.49044,0.8402,0.70878,0.90419,0.001387,0.001387,0.001387
89,16327.3,0.74365,0.78409,0.92254,0.76351,0.79227,0.70057,0.49002,0.83819,0.70817,0.90277,0.001288,0.001288,0.001288
90,16434.6,0.73817,0.77949,0.91747,0.76494,0.7853,0.69765,0.48999,0.83708,0.70542,0.90207,0.001189,0.001189,0.001189
91,16553.6,0.68039,0.72069,0.8721,0.77092,0.78236,0.7006,0.48943,0.8385,0.70517,0.90255,0.00109,0.00109,0.00109
92,16659.4,0.6601,0.71399,0.86453,0.77165,0.78346,0.69971,0.48964,0.83725,0.70531,0.90258,0.000991,0.000991,0.000991
93,16766.9,0.65494,0.70548,0.86335,0.77879,0.78082,0.699,0.49013,0.83426,0.70433,0.90223,0.000892,0.000892,0.000892
94,16874.1,0.64825,0.70435,0.86288,0.77531,0.78282,0.69982,0.4911,0.83159,0.70379,0.90145,0.000793,0.000793,0.000793
95,16982.4,0.63621,0.6984,0.86154,0.78176,0.7809,0.69937,0.49068,0.82846,0.70255,0.90091,0.000694,0.000694,0.000694
96,17089.7,0.6264,0.69884,0.85652,0.77974,0.78036,0.69986,0.49256,0.82509,0.70169,0.89986,0.000595,0.000595,0.000595
97,17197.3,0.61843,0.69563,0.85528,0.76727,0.78453,0.69998,0.49224,0.82302,0.70109,0.89918,0.000496,0.000496,0.000496
98,17305.4,0.61944,0.69221,0.85272,0.77341,0.78251,0.69951,0.49184,0.82204,0.70043,0.8986,0.000397,0.000397,0.000397
99,17413,0.61103,0.68993,0.85365,0.7726,0.78366,0.70022,0.49257,0.82083,0.7003,0.89862,0.000298,0.000298,0.000298
100,17520.5,0.60403,0.68678,0.85149,0.77113,0.78471,0.7005,0.49254,0.8195,0.69985,0.89828,0.000199,0.000199,0.000199
